,Player,Club,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
1588,Yoel,Valladolid,ESP,GK,29,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1589,Pablo Hervías,Valladolid,ESP,MF,25,3,2,160,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.5,2,3,12
1590,Chris Ramos,Valladolid,ESP,FW,21,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1
1591,Stiven Plaza,Valladolid,ECU,"FW,MF",19,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0
1592,Ivi,Valladolid,ESP,"MF,FW",24,3,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,2
1593,Miguel,Valladolid,ESP,FW,18,2,0,12,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2
1594,Hacen,Valladolid,MTN,MF,20,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1599,Hugo Mallo,Celta Vigo,ESP,DF,27,35,35,3092,34.4,1,4,5,1,0,0,11,0,1.8,1.8,4.7,6.5,79,136,201
1600,Maxi Gómez,Celta Vigo,URU,FW,21,35,33,2960,32.9,13,5,18,12,1,1,6,1,12.5,11.7,3.0,14.6,33,64,150
1601,Néstor Araujo,Celta Vigo,MEX,DF,26,32,30,2682,29.8,3,0,3,3,0,0,3,1,1.3,1.3,0.3,1.6,4,61,5
1602,Stanislav Lobotka,Celta Vigo,SVK,MF,23,31,27,2489,27.7,0,1,1,0,0,0,1,0,0.9,0.9,0.9,1.8,46,118,34
1603,Brais Méndez,Celta Vigo,ESP,"MF,FW",21,31,27,2349,26.1,6,7,13,5,1,1,5,0,5.5,4.7,4.1,8.7,60,112,158
1604,Iago Aspas,Celta Vigo,ESP,"FW,MF",30,27,26,2251,25.0,20,6,26,15,5,5,5,0,11.9,7.9,6.7,14.6,81,89,201
1605,Okay Yokuşlu,Celta Vigo,TUR,MF,24,30,26,2198,24.4,2,0,2,2,0,0,10,0,1.7,1.7,0.7,2.4,35,113,14
1606,Rubén Blanco,Celta Vigo,ESP,GK,23,25,25,2250,25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0
1607,Sofiane Boufal,Celta Vigo,MAR,"MF,FW",24,35,25,2085,23.2,3,3,6,3,0,0,6,0,3.4,3.4,3.6,6.9,154,95,126
1608,Gustavo Cabral,Celta Vigo,ARG,DF,32,24,21,1897,21.1,0,0,0,0,0,0,6,2,1.6,1.6,0.3,2.0,4,44,3
1609,David Juncà,Celta Vigo,ESP,DF,24,21,21,1754,19.5,0,3,3,0,0,0,6,0,0.5,0.5,0.9,1.4,47,64,79
1610,Fran Beltrán,Celta Vigo,ESP,MF,19,30,16,1517,16.9,1,0,1,1,0,0,3,0,1.2,1.2,0.8,2.0,15,67,29
1611,Jozabed,Celta Vigo,ESP,MF,27,20,14,1155,12.8,0,0,0,0,0,0,1,0,0.4,0.4,0.8,1.2,7,71,17
1612,David Costas,Celta Vigo,ESP,DF,23,15,13,1173,13.0,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,5,34,2
1613,Sergio Álvarez,Celta Vigo,ESP,GK,31,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
1614,Facundo Roncaglia,Celta Vigo,ARG,DF,31,12,12,1070,11.9,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,5,26,13
1615,Lucas Olaza,Celta Vigo,URU,DF,24,10,10,897,10.0,0,2,2,0,0,0,2,0,0.0,0.0,0.6,0.6,16,18,30
1616,Wesley Hoedt,Celta Vigo,NED,DF,24,10,9,893,9.9,0,0,0,0,0,0,3,1,0.3,0.3,0.4,0.7,4,32,2
1617,Pione Sisto,Celta Vigo,DEN,"FW,MF",23,25,8,844,9.4,2,1,3,2,0,0,0,0,0.9,0.9,1.1,2.0,30,40,56
1618,Ryad Boudebouz,Celta Vigo,ALG,"MF,FW",28,11,8,717,8.0,1,2,3,1,0,0,2,1,1.5,1.5,2.5,4.0,18,40,56
1619,Júnior Alonso,Celta Vigo,PAR,"DF,MF",25,9,6,536,6.0,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.5,6,21,19
1620,Emre Mor,Celta Vigo,TUR,"FW,MF",21,10,4,369,4.1,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,11,13,10
1621,Mathias Jensen,Celta Vigo,DEN,"MF,FW",22,6,3,235,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,7,10
1622,Andrew Hjulsager,Celta Vigo,DEN,"MF,FW",23,15,2,359,4.0,0,3,3,0,0,0,1,0,0.1,0.1,1.7,1.8,9,13,29
1623,Kevin Vázquez,Celta Vigo,ESP,DF,25,4,2,220,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,11
1624,Dennis Eckert,Celta Vigo,GER,FW,21,9,1,216,2.4,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,2,4,17
1625,Róbert Mazáň,Celta Vigo,SVK,DF,24,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,3
1626,Emmanuel Apeh,Celta Vigo,NGA,"FW,MF",21,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3
1628,Portu,Girona,ESP,"FW,MF",26,34,33,2821,31.3,9,2,11,8,1,1,3,0,7.9,7.1,4.2,11.4,98,85,269
1629,Yassine Bounou,Girona,MAR,GK,27,32,32,2861,31.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,0,0
1630,Pere Pons,Girona,ESP,MF,25,34,32,2792,31.0,1,2,3,1,0,0,4,0,1.6,1.6,2.0,3.6,46,117,57
1631,Juanpe,Girona,ESP,DF,27,33,31,2767,30.7,0,0,0,0,0,0,8,0,1.7,1.7,0.2,1.9,18,91,3
1632,Bernardo Espinosa,Girona,COL,DF,29,31,31,2727,30.3,1,1,2,1,0,0,6,2,2.1,2.1,1.2,3.3,0,49,6
1633,Cristhian Stuani,Girona,URU,FW,31,32,30,2729,30.3,19,0,19,14,5,5,9,0,14.1,10.4,1.0,11.4,12,30,129
1634,Borja García,Girona,ESP,"MF,FW",27,33,30,2629,29.2,1,3,4,1,0,0,0,1,2.0,2.0,4.8,6.8,59,148,169
1635,Álex Granell,Girona,ESP,"MF,DF",29,32,26,2391,26.6,0,4,4,0,0,0,5,0,1.2,1.2,6.0,7.2,46,182,80
1636,Pedro Porro,Girona,ESP,DF,18,32,25,2211,24.6,0,4,4,0,0,0,4,0,1.6,1.6,2.9,4.5,82,109,145
1637,Pedro Alcalá,Girona,ESP,DF,29,25,20,1868,20.8,1,1,2,1,0,0,9,0,1.0,1.0,0.6,1.6,13,47,3
1638,Aleix García,Girona,ESP,MF,21,31,20,1663,18.5,2,1,3,2,0,0,1,0,1.5,1.5,2.1,3.6,28,132,65
1639,Jonás Ramalho,Girona,ESP,DF,25,22,18,1619,18.0,1,0,1,1,0,0,4,0,0.8,0.8,0.1,0.9,30,50,36
1640,Douglas Luiz,Girona,BRA,MF,20,23,16,1490,16.6,0,0,0,0,0,0,7,0,1.6,1.6,0.5,2.1,29,90,16
1641,Marc Muniesa,Girona,ESP,"DF,MF",26,19,15,1406,15.6,0,0,0,0,0,0,6,0,0.5,0.5,0.5,0.9,11,62,25
1642,Valery Fernández,Girona,ESP,"DF,FW",18,17,10,888,9.9,0,1,1,0,0,0,2,0,0.1,0.1,0.7,0.8,29,17,46
1643,Raúl García,Girona,ESP,DF,29,10,10,850,9.4,0,1,1,0,0,0,1,0,0.4,0.4,0.3,0.8,27,28,41
1644,Aday,Girona,ESP,"DF,MF",30,10,8,645,7.2,0,2,2,0,0,0,2,0,0.3,0.3,1.5,1.8,35,11,40
1645,Anthony Lozano,Girona,HON,"FW,MF",25,20,7,730,8.1,0,0,0,0,0,0,4,1,2.3,2.3,0.4,2.7,21,11,50
1646,Patrick Roberts,Girona,ENG,"MF,FW",21,19,6,601,6.7,0,0,0,0,0,0,0,0,0.8,0.8,0.3,1.2,30,26,52
1647,Gorka Iraizoz,Girona,ESP,GK,37,7,6,559,6.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1648,Seydou Doumbia,Girona,CIV,FW,30,17,5,541,6.0,2,0,2,2,0,0,2,0,2.7,2.7,0.0,2.7,9,5,27
1649,Carles Planas,Girona,ESP,DF,27,7,4,419,4.7,0,1,1,0,0,0,3,0,0.1,0.1,0.3,0.4,7,13,31
1650,David Timor,Girona,ESP,MF,28,2,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,2
1651,Kévin Soni,Girona,CMR,"FW,DF",20,5,1,82,0.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.4,3,0,7
1652,Paik Seung-ho,Girona,KOR,"FW,MF",21,3,0,60,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,2
1653,Johan Mojica,Girona,COL,"FW,MF",25,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2
1659,Moi Gómez,Huesca,ESP,MF,24,36,35,3055,33.9,2,7,9,2,0,0,3,0,2.1,2.1,4.8,6.9,52,180,61
1660,Jorge Pulido,Huesca,ESP,DF,27,32,32,2785,30.9,3,3,6,3,0,0,9,2,2.5,2.5,0.7,3.1,19,74,47
1661,Xabier Etxeita,Huesca,ESP,DF,30,31,30,2677,29.7,4,0,4,4,0,0,10,0,2.7,2.7,0.3,3.0,18,62,9
1662,Jorge Miramón,Huesca,ESP,DF,29,30,30,2492,27.7,1,0,1,1,0,0,5,0,0.8,0.8,1.9,2.7,66,118,86
1663,Cucho,Huesca,COL,FW,19,34,25,2150,23.9,4,3,7,2,2,2,6,0,10.8,9.2,4.4,13.6,63,47,166
1664,David Ferreiro,Huesca,ESP,"MF,FW",30,35,23,2280,25.3,1,3,4,1,0,0,5,0,2.8,2.8,5.4,8.2,114,72,225
1665,Ezequiel Ávila,Huesca,ARG,"FW,MF",24,34,20,1997,22.2,10,2,12,9,1,1,12,1,6.8,6.1,3.6,9.7,55,78,131
1666,Roberto Santamaría,Huesca,ESP,GK,33,20,20,1800,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
1667,Damián Musto,Huesca,ARG,"MF,DF",31,24,20,1686,18.7,0,0,0,0,0,0,11,0,1.2,1.2,0.3,1.5,5,73,10
1668,Cristian Rivera,Huesca,ESP,MF,21,22,19,1692,18.8,2,0,2,2,0,0,2,0,1.7,1.7,0.6,2.3,25,72,36
1669,Enric Gallego,Huesca,ESP,FW,31,19,17,1539,17.1,5,1,6,5,0,0,4,0,4.7,4.7,2.1,6.9,15,26,74
1670,Javi Galán,Huesca,ESP,"DF,FW",23,16,16,1440,16.0,0,2,2,0,0,0,7,0,0.1,0.1,2.4,2.4,52,31,62
1671,Gonzalo Melero,Huesca,ESP,MF,24,22,14,1345,14.9,2,1,3,1,1,2,3,0,5.1,3.5,1.9,5.4,24,95,29
1672,Yangel Herrera,Huesca,VEN,"MF,DF",20,16,14,1154,12.8,0,0,0,0,0,0,5,0,0.5,0.5,0.2,0.7,5,46,25
1673,Aleksandar Jovanović,Huesca,SRB,GK,25,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
1674,Carlos Akapo,Huesca,EQG,DF,25,13,12,1023,11.4,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,33,34,28
1675,Álex Gallar,Huesca,ESP,"MF,FW",26,25,10,1009,11.2,4,1,5,3,1,1,2,0,3.6,2.8,2.8,5.6,30,47,87
1676,Pablo Insua,Huesca,ESP,DF,24,10,10,776,8.6,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,3,15,0
1677,Rúben Semedo,Huesca,POR,DF,24,11,9,850,9.4,0,0,0,0,0,0,4,0,0.6,0.6,0.2,0.8,1,25,1
1678,Adrián Diéguez,Huesca,ESP,DF,22,9,8,749,8.3,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.2,2,8,0
1679,Juanpi,Huesca,VEN,"MF,FW",24,14,8,670,7.4,2,2,4,1,1,1,2,0,2.0,1.2,0.5,1.7,21,20,23
1680,Martín Mantovani,Huesca,ARG,DF,34,9,6,701,7.8,2,0,2,2,0,0,2,0,0.5,0.5,0.0,0.5,0,10,0
1681,Samuele Longo,Huesca,ITA,FW,26,15,6,556,6.2,1,2,3,1,0,0,4,0,1.8,1.8,1.7,3.5,4,7,25
1682,Axel Werner,Huesca,ARG,GK,22,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1683,Luisinho,Huesca,POR,DF,33,7,6,507,5.6,0,0,0,0,0,0,4,0,0.1,0.1,0.7,0.7,15,16,8
1684,Serdar Gürler,Huesca,TUR,"MF,FW",26,13,5,482,5.4,0,1,1,0,0,0,2,0,0.7,0.7,0.2,1.0,23,14,59
1685,Juan Aguilera,Huesca,ESP,MF,32,6,4,344,3.8,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,8,21,2
1686,Lluís Sastre,Huesca,ESP,MF,32,4,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,1
1687,Rajko Brežančić,Huesca,SRB,DF,28,1,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,3
1688,Juanjo Camacho,Huesca,ESP,"MF,DF",37,3,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0,2,3
1691,Álex Moreno,Rayo Vallecano,ESP,DF,25,36,36,3136,34.8,1,1,2,1,0,0,5,0,1.1,1.1,2.6,3.7,176,117,236
1692,Raúl de Tomás,Rayo Vallecano,ESP,FW,23,33,32,2813,31.3,14,1,15,14,0,0,5,0,15.6,15.6,1.5,17.2,51,40,135
1693,Jordi Amat,Rayo Vallecano,IDN,DF,26,31,31,2763,30.7,0,0,0,0,0,0,9,0,0.5,0.5,0.4,0.9,22,95,3
1694,Luis Advíncula,Rayo Vallecano,PER,DF,28,28,27,2389,26.5,1,3,4,1,0,0,6,2,1.1,1.1,2.4,3.5,51,90,136
1695,Adri Embarba,Rayo Vallecano,ESP,"MF,FW",26,36,27,2282,25.4,5,6,11,2,3,3,5,1,6.7,4.3,7.4,11.7,93,53,164
1696,Abdoulaye Ba,Rayo Vallecano,SEN,DF,27,26,25,2110,23.4,1,0,1,1,0,0,4,2,1.3,1.3,0.1,1.4,5,44,3
1697,Santi Comesaña,Rayo Vallecano,ESP,MF,21,25,23,2032,22.6,1,1,2,1,0,0,6,0,0.7,0.7,0.4,1.0,13,99,13
1698,Óscar Trejo,Rayo Vallecano,ARG,"MF,FW",30,26,22,1764,19.6,1,4,5,0,1,1,7,1,3.3,2.5,3.9,6.4,45,120,77
1699,Stole Dimitrievski,Rayo Vallecano,MKD,GK,24,21,21,1890,21.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0
1700,Giannelli Imbula,Rayo Vallecano,COD,MF,25,22,21,1732,19.2,1,1,2,1,0,0,7,0,0.9,0.9,0.9,1.8,51,114,19
1701,Álvaro García,Rayo Vallecano,ESP,"FW,MF",25,35,17,1766,19.6,4,2,6,4,0,0,3,0,4.2,4.2,2.9,7.1,67,37,160
1702,Alberto García,Rayo Vallecano,ESP,GK,33,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
1703,Álex Gálvez,Rayo Vallecano,ESP,DF,29,17,17,1412,15.7,1,0,1,1,0,0,6,0,2.1,2.1,0.5,2.6,5,37,1
1704,José Pozo,Rayo Vallecano,ESP,MF,22,29,16,1617,18.0,3,0,3,3,0,0,4,0,2.6,2.6,1.9,4.5,68,119,95
1705,Emiliano Velázquez,Rayo Vallecano,URU,DF,24,18,14,1277,14.2,0,2,2,0,0,0,8,0,1.0,1.0,0.8,1.8,5,42,2
1706,Bebé,Rayo Vallecano,CPV,"FW,MF",28,27,13,1302,14.5,1,1,2,1,0,0,6,0,2.2,2.2,3.4,5.6,78,34,105
1707,Álvaro Medrán,Rayo Vallecano,ESP,MF,24,21,12,1149,12.8,3,0,3,3,0,0,8,1,2.3,2.3,1.6,3.9,18,81,18
1708,Tito,Rayo Vallecano,ESP,DF,33,15,12,1098,12.2,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,23,54,37
1709,Mario Suárez,Rayo Vallecano,ESP,MF,31,14,11,1026,11.4,2,0,2,2,0,0,5,0,1.1,1.1,0.7,1.8,10,56,7
1710,Gaël Kakuta,Rayo Vallecano,COD,"MF,FW",27,12,9,717,8.0,1,0,1,0,1,1,1,0,1.1,0.3,0.2,0.6,27,28,64
1711,Uche Henry Agbo,Rayo Vallecano,NGA,MF,22,6,5,372,4.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,4,18,1
1712,Gorka Elustondo,Rayo Vallecano,ESP,"MF,DF",31,5,3,285,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,4,15,1
1713,Sergio Akieme,Rayo Vallecano,ESP,DF,20,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,5,7,9
1714,Catena,Rayo Vallecano,ESP,DF,23,2,2,176,2.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,9,2
1715,Javi Guerra,Rayo Vallecano,ESP,"FW,MF",36,8,1,236,2.6,0,1,1,0,0,0,0,0,0.8,0.8,0.6,1.4,2,5,12
1716,Franco Di Santo,Rayo Vallecano,ARG,FW,29,6,1,172,1.9,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1,0,9
1717,Chechu,Rayo Vallecano,ESP,DF,36,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0
1718,Álex Alegría,Rayo Vallecano,ESP,"FW,MF",25,9,0,140,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,4,5,7
1719,Sergio Moreno,Rayo Vallecano,ESP,FW,19,1,0,14,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,0
1722,Cristiano Ronaldo,Juventus,POR,FW,33,31,30,2688,29.9,21,8,29,16,5,6,3,0,22.2,17.5,4.6,22.1,145,130,358
1723,Blaise Matuidi,Juventus,FRA,MF,31,31,29,2418,26.9,3,2,5,3,0,0,5,0,1.4,1.4,1.7,3.0,23,157,118
1724,Wojciech Szczęsny,Juventus,POL,GK,28,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1725,Alex Sandro,Juventus,BRA,DF,27,31,28,2387,26.5,1,2,3,1,0,0,7,0,1.5,1.5,2.4,3.9,104,163,163
1726,Leonardo Bonucci,Juventus,ITA,DF,31,29,27,2472,27.5,3,0,3,3,0,0,2,0,2.1,2.1,0.8,2.9,6,101,4
1727,Miralem Pjanić,Juventus,BIH,MF,28,31,27,2280,25.3,2,6,8,2,0,0,6,1,1.2,1.2,5.9,7.1,30,202,19
1728,Paulo Dybala,Juventus,ARG,"FW,MF",24,30,24,2137,23.7,5,4,9,4,1,1,2,0,5.0,4.2,3.8,8.0,69,143,154
1729,Mario Mandžukić,Juventus,CRO,FW,32,25,23,2014,22.4,9,6,15,9,0,0,4,0,6.4,6.4,3.7,10.1,18,50,145
1730,Giorgio Chiellini,Juventus,ITA,DF,33,25,22,1991,22.1,1,1,2,1,0,0,3,0,1.5,1.5,0.5,2.0,21,91,6
1731,João Cancelo,Juventus,POR,DF,24,25,22,1968,21.9,1,3,4,1,0,0,6,0,1.7,1.7,4.0,5.7,109,143,152
1732,Rodrigo Bentancur,Juventus,URU,MF,21,31,21,2003,22.3,2,3,5,2,0,0,8,1,1.5,1.5,2.1,3.6,36,128,65
1733,Emre Can,Juventus,GER,MF,24,29,20,1811,20.1,4,1,5,3,1,1,7,0,2.7,1.9,2.4,4.4,48,90,46
1734,Mattia De Sciglio,Juventus,ITA,DF,25,22,19,1743,19.4,0,1,1,0,0,0,2,0,0.3,0.3,1.1,1.4,40,86,91
1735,Daniele Rugani,Juventus,ITA,DF,24,15,15,1350,15.0,2,0,2,2,0,0,3,0,1.6,1.6,0.0,1.6,6,39,1
1736,Federico Bernardeschi,Juventus,ITA,"MF,FW",24,28,14,1473,16.4,2,3,5,2,0,0,5,1,3.8,3.8,3.4,7.2,58,66,153
1737,Juan Cuadrado,Juventus,COL,"MF,DF",30,18,14,1220,13.6,1,2,3,1,0,0,4,0,1.6,1.6,2.0,3.5,55,86,109
1738,Mattia Perin,Juventus,ITA,GK,25,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
1739,Sami Khedira,Juventus,GER,MF,31,10,8,706,7.8,2,1,3,2,0,0,0,0,3.0,3.0,1.1,4.0,9,25,32
1740,Martín Cáceres,Juventus,URU,DF,31,9,7,628,7.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,13,34,5
1741,Douglas Costa,Juventus,BRA,"FW,MF",27,17,7,621,6.9,1,0,1,1,0,0,2,1,0.7,0.7,2.4,3.1,47,31,83
1742,Leonardo Spinazzola,Juventus,ITA,DF,25,10,6,601,6.7,0,1,1,0,0,0,0,0,0.3,0.3,0.8,1.1,60,33,65
1743,Moise Kean,Juventus,ITA,FW,18,13,5,541,6.0,6,0,6,6,0,0,2,0,3.6,3.6,0.3,3.9,11,4,42
1744,Medhi Benatia,Juventus,MAR,DF,31,5,5,450,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,13,0
1745,Andrea Barzagli,Juventus,ITA,DF,37,7,4,260,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,18,0
1746,Matheus Pereira da Silva,Juventus,BRA,MF,20,3,1,92,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,6,10
1747,Paolo Gozzi Iweru,Juventus,ITA,DF,17,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,5,0
1748,Carlo Pinsoglio,Juventus,ITA,GK,28,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1749,Grigoris Kastanos,Juventus,CYP,MF,20,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1
1750,Hans Nicolussi Caviglia,Juventus,ITA,MF,18,3,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,6,4
1751,Manolo Portanova,Juventus,ITA,MF,18,1,0,33,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,2
1752,Stephy Mavididi,Juventus,ENG,FW,20,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,5
1758,Kalidou Koulibaly,Napoli,SEN,DF,27,35,35,3132,34.8,2,2,4,2,0,0,10,1,2.4,2.4,0.3,2.6,53,191,15
1759,Piotr Zieliński,Napoli,POL,MF,24,36,33,2875,31.9,6,2,8,6,0,0,6,0,5.5,5.5,4.8,10.3,134,249,197
1760,José Callejón,Napoli,ESP,"MF,FW",31,34,29,2650,29.4,3,10,13,3,0,0,1,0,5.7,5.7,8.3,14.1,54,135,247
1761,Allan,Napoli,BRA,MF,27,33,28,2616,29.1,1,3,4,1,0,0,10,0,1.0,1.0,2.5,3.6,49,236,45
1762,Arkadiusz Milik,Napoli,POL,FW,24,35,27,2396,26.6,17,3,20,17,0,0,4,0,13.9,13.9,3.0,16.8,30,57,169
1763,Elseid Hysaj,Napoli,ALB,DF,24,27,24,2107,23.4,0,2,2,0,0,0,4,0,0.6,0.6,0.6,1.2,67,123,98
1764,Lorenzo Insigne,Napoli,ITA,"FW,MF",27,28,24,2073,23.0,10,6,16,9,1,2,6,1,9.9,8.3,4.7,13.0,76,133,258
1765,Dries Mertens,Napoli,BEL,FW,31,35,23,2252,25.0,16,11,27,15,1,1,1,0,10.7,9.9,8.0,17.9,71,96,261
1766,Fabián Ruiz Peña,Napoli,ESP,MF,22,27,20,1992,22.1,5,4,9,5,0,0,3,1,3.1,3.1,4.1,7.2,70,204,116
1767,Kévin Malcuit,Napoli,MAR,DF,27,24,20,1805,20.1,0,2,2,0,0,0,3,0,0.4,0.4,2.0,2.4,82,88,138
1768,Raúl Albiol,Napoli,ESP,DF,32,20,19,1713,19.0,1,0,1,1,0,0,4,0,0.3,0.3,0.4,0.7,4,81,2
1769,Mário Rui,Napoli,POR,DF,27,20,17,1417,15.7,1,1,2,1,0,0,5,1,0.6,0.6,2.1,2.7,69,105,134
1770,David Ospina,Napoli,COL,GK,29,17,16,1457,16.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1771,Nikola Maksimović,Napoli,SRB,DF,26,17,15,1375,15.3,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.3,6,53,3
1772,Alex Meret,Napoli,ITA,GK,21,14,13,1151,12.8,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0
1773,Faouzi Ghoulam,Napoli,ALG,DF,27,16,12,1154,12.8,1,3,4,1,0,0,2,0,1.0,1.0,3.3,4.4,37,68,138
1774,Marek Hamšík,Napoli,SVK,MF,31,13,12,916,10.2,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.0,22,86,28
1775,Orestis Karnezis,Napoli,GRE,GK,33,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
1776,Simone Verdi,Napoli,ITA,"MF,FW",26,22,9,704,7.8,3,3,6,2,1,1,0,0,2.7,1.9,2.0,3.9,32,37,74
1777,Amadou Diawara,Napoli,GUI,MF,21,13,8,661,7.3,0,0,0,0,0,0,4,0,0.4,0.4,0.2,0.6,3,40,6
1778,Sebastiano Luperto,Napoli,ITA,DF,21,12,6,728,8.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,20,3
1779,Adam Ounas,Napoli,ALG,"MF,FW",21,18,6,538,6.0,3,0,3,3,0,0,0,0,1.4,1.4,1.9,3.3,45,30,77
1780,Amin Younes,Napoli,GER,"MF,FW",24,12,6,498,5.5,3,2,5,3,0,0,1,0,1.7,1.7,0.9,2.6,19,37,66
1781,Marko Rog,Napoli,CRO,MF,23,9,4,333,3.7,1,0,1,1,0,0,3,0,0.2,0.2,0.0,0.2,2,11,4
1782,Vlad Chiricheș,Napoli,ROU,DF,28,3,3,147,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,9,0
1783,Gianluca Gaetano,Napoli,ITA,"MF,FW",18,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,3
1789,Remo Freuler,Atalanta,SUI,MF,26,35,35,3022,33.6,2,6,8,2,0,0,4,0,3.2,3.2,3.9,7.2,100,276,77
1790,Marten de Roon,Atalanta,NED,MF,27,35,34,2975,33.1,2,3,5,1,1,1,8,0,1.8,1.0,2.0,3.0,33,254,40
1791,Papu Gómez,Atalanta,ARG,"MF,FW",30,35,34,2899,32.2,7,11,18,7,0,0,5,0,8.4,8.4,12.8,21.3,239,238,264
1792,Hans Hateboer,Atalanta,NED,DF,24,35,33,2973,33.0,5,5,10,5,0,0,5,0,5.2,5.2,5.0,10.1,100,136,243
